"","date","cases","deaths"
"1",2020-01-21,1,0
"2",2020-01-22,1,0
"3",2020-01-23,1,0
"4",2020-01-24,2,0
"5",2020-01-25,3,0
"6",2020-01-26,5,0
"7",2020-01-27,5,0
"8",2020-01-28,5,0
"9",2020-01-29,5,0
"10",2020-01-30,6,0
"11",2020-01-31,7,0
"12",2020-02-01,8,0
"13",2020-02-02,11,0
"14",2020-02-03,11,0
"15",2020-02-04,11,0
"16",2020-02-05,12,0
"17",2020-02-06,12,0
"18",2020-02-07,12,0
"19",2020-02-08,12,0
"20",2020-02-09,12,0
"21",2020-02-10,13,0
"22",2020-02-11,13,0
"23",2020-02-12,14,0
"24",2020-02-13,15,0
"25",2020-02-14,15,0
"26",2020-02-15,15,0
"27",2020-02-16,15,0
"28",2020-02-17,25,0
"29",2020-02-18,25,0
"30",2020-02-19,25,0
"31",2020-02-20,27,0
"32",2020-02-21,30,0
"33",2020-02-22,30,0
"34",2020-02-23,30,0
"35",2020-02-24,43,0
"36",2020-02-25,45,0
"37",2020-02-26,60,0
"38",2020-02-27,60,0
"39",2020-02-28,65,0
"40",2020-02-29,70,1
"41",2020-03-01,88,3
"42",2020-03-02,104,6
"43",2020-03-03,125,10
"44",2020-03-04,161,12
"45",2020-03-05,228,12
"46",2020-03-06,311,15
"47",2020-03-07,428,19
"48",2020-03-08,547,22
"49",2020-03-09,748,26
"50",2020-03-10,1018,31
"51",2020-03-11,1263,37
"52",2020-03-12,1668,43
"53",2020-03-13,2224,50
"54",2020-03-14,2898,60
"55",2020-03-15,3600,68
"56",2020-03-16,4507,91
"57",2020-03-17,5906,117
"58",2020-03-18,8350,162
"59",2020-03-19,12393,212
"60",2020-03-20,18012,277
"61",2020-03-21,24528,360
"62",2020-03-22,33073,458
"63",2020-03-23,43505,579
"64",2020-03-24,53938,785
"65",2020-03-25,68572,1054
"66",2020-03-26,85570,1353
"67",2020-03-27,102900,1770
"68",2020-03-28,123966,2300
"69",2020-03-29,142486,2718
"70",2020-03-30,163955,3368
"71",2020-03-31,188461,4304
"72",2020-04-01,215391,5325
"73",2020-04-02,245108,6541
"74",2020-04-03,277426,7932
"75",2020-04-04,312525,9488
"76",2020-04-05,338141,10856
"77",2020-04-06,369056,12382
"78",2020-04-07,399394,14616
"79",2020-04-08,431213,16701
"80",2020-04-09,465909,18821
"81",2020-04-10,499381,21084
"82",2020-04-11,531106,23168
"83",2020-04-12,558249,24849
"84",2020-04-13,584018,26613
"85",2020-04-14,610709,29318
"86",2020-04-15,640742,32070
"87",2020-04-16,672355,34418
"88",2020-04-17,703862,36707
"89",2020-04-18,732262,38659
"90",2020-04-19,757596,40179
"91",2020-04-20,784926,42016
"92",2020-04-21,810434,44688
"93",2020-04-22,839266,47059
"94",2020-04-23,873039,49228
"95",2020-04-24,909777,51360
"96",2020-04-25,944184,53326
"97",2020-04-26,970919,54580
"98",2020-04-27,994110,56022
"99",2020-04-28,1018741,58416
"100",2020-04-29,1045298,60930
"101",2020-04-30,1075637,63140
"102",2020-05-01,1109601,64902
"103",2020-05-02,1139075,66485
"104",2020-05-03,1165215,67816
"105",2020-05-04,1187176,68905
"106",2020-05-05,1210881,71139
"107",2020-05-06,1235366,73847
"108",2020-05-07,1263839,75805
"109",2020-05-08,1291482,77380
"110",2020-05-09,1316351,78834
"111",2020-05-10,1336668,79765
"112",2020-05-11,1354286,80747
"113",2020-05-12,1376585,82400
"114",2020-05-13,1397726,84168
"115",2020-05-14,1424687,85906
"116",2020-05-15,1450910,87499
"117",2020-05-16,1474569,88724
"118",2020-05-17,1493583,89568
"119",2020-05-18,1515403,90414
"120",2020-05-19,1536371,91934
"121",2020-05-20,1559435,93411
"122",2020-05-21,1585168,94722
"123",2020-05-22,1608961,96010
"124",2020-05-23,1631229,97060
"125",2020-05-24,1651260,97680
"126",2020-05-25,1670360,98190
"127",2020-05-26,1689248,98937
"128",2020-05-27,1707987,100422
"129",2020-05-28,1730457,101622
"130",2020-05-29,1755003,102812
"131",2020-05-30,1778401,103775
"132",2020-05-31,1799035,104379
"133",2020-06-01,1820929,105113
"134",2020-06-02,1841713,106195
"135",2020-06-03,1861694,107184
"136",2020-06-04,1883308,108192
"137",2020-06-05,1912001,109304
"138",2020-06-06,1934522,110032
"139",2020-06-07,1953138,110422
"140",2020-06-08,1971337,111144
"141",2020-06-09,1990137,112174
"142",2020-06-10,2013296,113103
"143",2020-06-11,2036496,113980
"144",2020-06-12,2061992,114758
"145",2020-06-13,2087327,115451
"146",2020-06-14,2106456,115768
"147",2020-06-15,2126570,116216
"148",2020-06-16,2151452,116985
"149",2020-06-17,2177104,117746
"150",2020-06-18,2205155,118473
"151",2020-06-19,2235995,119171
"152",2020-06-20,2268019,119717
"153",2020-06-21,2294413,119974
"154",2020-06-22,2324854,120334
"155",2020-06-23,2359899,121167
"156",2020-06-24,2396913,121934
"157",2020-06-25,2438069,124400
"158",2020-06-26,2483560,125033
"159",2020-06-27,2525920,125544
"160",2020-06-28,2565007,125814
"161",2020-06-29,2604906,126161
"162",2020-06-30,2653278,127461
"163",2020-07-01,2703212,128103
"164",2020-07-02,2758807,128826
"165",2020-07-03,2815374,129415
"166",2020-07-04,2866013,129679
"167",2020-07-05,2910780,129941
"168",2020-07-06,2958080,130332
"169",2020-07-07,3012210,131289
"170",2020-07-08,3071663,132237
"171",2020-07-09,3131549,133079
"172",2020-07-10,3199790,133907
"173",2020-07-11,3260565,134582
"174",2020-07-12,3318347,134977
"175",2020-07-13,3379859,135402
"176",2020-07-14,3445483,136356
"177",2020-07-15,3513850,137327
"178",2020-07-16,3589493,138284
"179",2020-07-17,3660324,139186
"180",2020-07-18,3722722,139961
